"track_name","artist_name","streams","energy","danceability","bpm"
"Danza Kuduro","Don Omar, Lucenzo",1279434863,92,47,130
"Nosso Quadro","Ana Castela, AgroPlay",233801632,71,69,160
"Locked Out Of Heaven","Bruno Mars",1481349984,70,73,144
"Un Finde | CROSSOVER #2","Big One, FMK, Ke personajes",142095275,52,50,192
"Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage",618885532,67,54,163
"Counting Stars","OneRepublic",2011464183,71,66,122
"Ghost","Justin Bieber",1167330737,74,61,154
"Under The Influence","Chris Brown",929964809,69,73,117
"PRC","Natanael Cano, Peso Pluma",436027885,83,78,138
"Gasolina","Daddy Yankee",657723613,80,86,96
"One Dance","Drake, WizKid, Kyla",2713922350,63,77,104
"Enchanted","Taylor Swift",621660989,62,45,164
"Save Your Tears","The Weeknd",1591223784,82,68,118
"Sure Thing","Miguel",950906471,60,68,81
"Every Breath You Take - Remastered 2003","The Police",1593270737,45,82,117
"The Night We Met","Lord Huron",1410088830,37,45,174
"We Found Love","Rihanna, Calvin Harris",1235005533,77,73,128
"When I Was Your Man","Bruno Mars",1661187319,27,60,145
"Let Me Down Slowly","Alec Benjamin",1374581173,55,65,150
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",94186466,53,60,90
"Do I Wanna Know?","Arctic Monkeys",1788326445,53,55,85
"Demons","Imagine Dragons",1840364617,71,33,180
"ýýýýýýýýýýýý","YOASOBI",143573775,94,57,166
"Reminder","The Weeknd",684675814,50,71,160
"Shake It Off","Taylor Swift",1113838873,80,65,160
"Why'd You Only Call Me When You're High?","Arctic Monkeys",1267333350,63,70,92
"SNAP","Rosa Linn",726307468,64,56,170
"Shape of You","Ed Sheeran",3562543890,65,83,96
"Night Changes","One Direction",1131090940,52,67,120
"Fin de Semana","Oscar Maydon, Junior H",307370144,54,70,98
"Creep","Radiohead",1271293243,34,53,92
"Car's Outside","James Arthur",265882712,56,34,150
"Apocalypse","Cigarettes After Sex",841749534,47,37,94
"Cheques","Shubh",47956378,63,74,90
"Pink + White","Frank Ocean",806397070,55,54,160
"Circles","Post Malone",2132335812,75,70,120
"Just The Way You Are","Bruno Mars",1641426668,85,63,109
"Take Me To Church","Hozier",2135158446,66,57,129
"Bebe Dame","Fuerza Regida, Grupo Frontera",367316268,60,54,157
"You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve","Taylor Swift",350381515,73,63,130
"Titi Me Preguntï¿","Bad Bunny",1264310836,72,65,107
"Better Than Revenge (Taylor's Version)","Taylor Swift",30343206,89,50,146
"Shut up My Moms Calling","Hotel Ugly",405136812,41,48,139
"Have You Ever Seen The Rain?","Creedence Clearwater Revival",1145727611,70,74,116
"Es un Secreto","Plan B",540654286,77,84,95
"POLARIS - Remix","Feid, Mora, Saiko, Quevedo",57312735,80,62,170
"Ditto","NewJeans",397582059,64,81,134
"Take On Me","a-ha",1479115056,90,57,84
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",86773632,48,61,146
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",133753727,67,53,74
"Acrï¿½ï¿½s","Shakira",123124076,48,75,144
"AMG","Natanael Cano, Gabito Ballesteros, Peso Pluma",463564958,73,77,136
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",64533040,55,56,100
"S-Class","Stray Kids",65496046,78,89,105
"Hits Different","Taylor Swift",68616963,78,67,106
"Chanel","Becky G, Peso Pluma",161460990,68,85,132
"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","Metro Boomin, Coi Leray",70106975,30,78,120
"Area Codes","Kaliii, Kaliii",113509496,39,82,155
"Abcdario","Junior H, Eden Muï¿½ï",89933133,43,70,129
"Obsessed","Abhijay Sharma, Riar Saab",71007139,74,80,135
"Piï¿½ï¿½man Deï¿","Semicenk, Doï¿½ï¿½u ",43522589,62,73,98
"FLOWER","JISOO",232896922,39,84,124
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",37126685,55,77,135
"Eyes Closed","Ed Sheeran",195576623,53,78,107
"Escapism.","RAYE, 070 Shake",532336353,74,54,96
"La Jumpa","Arcangel, Bad Bunny",538115192,70,71,123
"Karma (feat. Ice Spice)","Taylor Swift, Ice Spice",46142772,62,62,90
"Superhero (Heroes & Villains) [with Future & Chris Brown]","Future, Chris Brown, Metro Boomin",401036314,59,72,117
"Las Morras","BLESSD, Peso Pluma",127026613,84,78,133
"CHORRITO PA LAS ANIMAS","Feid",345031710,83,74,96
"Ch y la Pizza","Fuerza Regida, Natanael Cano",288101651,60,66,149
"Snow On The Beach (feat. More Lana Del Rey)","Lana Del Rey, Taylor Swift",60350538,40,66,110
"Players","Coi Leray",335074782,52,95,105
"Bite Me","ENHYPEN",76767396,78,80,105
"Stand By Me (feat. Morgan Wallen)","Lil Durk, Morgan Wallen",46065667,58,76,134
"Normal","Feid",459276435,56,71,170
"Hummingbird (Metro Boomin & James Blake)","James Blake, Metro Boomin",39666245,60,59,81
"Seu Brilho Sumiu - Ao Vivo","Israel & Rodolffo, Mari Fernandez",138517666,92,63,154
"Bad Habit","Steve Lacy",822633917,51,69,169
"CUFF IT","Beyoncï¿",595900742,69,78,115
"Lilith (feat. SUGA of BTS) (Diablo IV Anthem)","Halsey, Suga",51985779,74,43,84
"69","Nicky Jam, Feid",57945987,62,79,93
"Niï¿½ï¿½a Bo","Sean Paul, Feid",115010040,62,82,91
"Search & Rescue","Drake",175097833,44,82,142
"AMERICA HAS A PROBLEM (feat. Kendrick Lamar)","Kendrick Lamar, Beyoncï¿",57089066,70,78,126
"Lavender Haze","Taylor Swift",488386797,44,73,97
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",32761689,51,92,101
"Efecto","Bad Bunny",1047480053,48,80,98
"Erro Gostoso - Ao Vivo","Simone Mendes",153454328,89,59,154
"Cupido","Tini",217672943,58,91,120
"Just Wanna Rock","Lil Uzi Vert",457184829,55,49,150
"Unstoppable","Sia",939844851,78,47,174
"Until I Found You","Stephen Sanchez",726434358,51,34,202
"Rich Flex","Drake, 21 Savage",573633020,52,56,153
"Easy On Me","Adele",1406111294,37,60,142
"Cartï¿½ï¿½o B","MC Caverinha, KayBlack",71573339,47,84,108
"Danger (Spider) (Offset & JID)","Offset, JID",24975653,69,83,143
"Oi Balde - Ao Vivo","Zï¿½ï¿½ Neto & Crist",145458418,67,67,108
"The Real Slim Shady","Eminem",1424589568,66,95,104
"MERCHO","Migrantes, LiL CaKe, Nico Valdi",231332117,79,84,93
"The Color Violet","Tory Lanez",415932686,53,65,105
"Glimpse of Us","Joji",988515741,32,44,170
"Mejor Que Yo","Mambo Kingz, DJ Luian, Anuel Aa",50847624,66,62,178
"Curtains","Ed Sheeran",39893489,76,50,176
"UNFORGIVEN (feat. Nile Rodgers)","Nile Rodgers, LE SSERAFIM",92035115,88,80,104
"Haegeum","Agust D",118810253,84,70,85
"Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ","Rich The Kid, Matuï¿",77233241,58,77,117
"MIENTRAS ME CURO DEL CORA","Karol G",206399629,48,52,80
"Never Felt So Alone","Labrinth",117747907,41,44,98
"X SI VOLVEMOS","Karol G, Romeo Santos",266624541,78,79,178
"ceilings","Lizzy McAlpine",293186992,33,51,148
"Cupid","Fifty Fifty",139681964,66,77,120
"I AM","IVE",123132751,88,68,122
"Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe","sped up 8282",103762518,73,74,144
"Shorty Party","Cartel De Santa, La Kelly",162887075,47,93,96
"Super","SEVENTEEN",91221625,88,77,137
"Slut Me Out","NLE Choppa",190490915,61,94,121
"Double Fantasy (with Future)","The Weeknd, Future",96180277,57,60,119
"All Of The Girls You Loved Before","Taylor Swift",185240616,47,72,96
"PROVENZA","Karol G",885093467,52,87,111
"Princess Diana (with Nicki Minaj)","Nicki Minaj, Ice Spice",104992946,68,90,148
"Di Que Si","Grupo Marca Registrada, Grupo Frontera",147290338,59,57,182
"Shivers","Ed Sheeran",1302184087,86,79,141
"Igualito a Mi Apï¿","Fuerza Regida, Peso Pluma",158950978,81,76,145
"Shoong! (feat. LISA of BLACKPINK)","TAEYANG, Lisa",76910644,70,76,110
"Komang","Raim Laode",137123880,41,70,134
"DESPECHï¿","ROSALï¿½",782369383,62,92,130
"Made You Look","Meghan Trainor",502574952,53,84,145
"Watch This - ARIZONATEARS Pluggnb Remix","sped up nightcore, ARIZONATEARS, Lil Uzi Vert",207033255,90,69,130
"No Se Va","Grupo Frontera",404887295,53,59,173
"Punto G","Quevedo",381161027,76,75,92
"Lovers Rock","TV Girl",466231982,87,56,105
"METAMORPHOSIS","INTERWORLD",357580552,64,59,175
"Mami Chula","Quevedo, Jhayco",61105704,70,80,120
"En Paris","El Chachito, Junior H",198275403,48,70,139
"Set Me Free Pt.2","Jimin",168448603,82,59,132
"I Was Never There","The Weeknd, Gesaffelstein",705469769,74,32,114
"Don't ever say love me (feat. RM of BTS)","RM, Colde",34502215,48,54,145
"Shut Down","BLACKPINK",482175240,69,82,110
"Gato de Noche","Nengo Flow, Bad Bunny",304118600,66,89,94
"Call Out My Name","The Weeknd",1449799467,60,45,134
"Like Crazy (English Version)","Jimin",173627354,76,62,120
"Rosa Pastel","Jasiel Nuï¿½ï¿½ez, Peso P",90025258,68,70,123
"Sunroof","Nicky Youre, Dazy",652704649,71,77,131
"Lose Yourself - Soundtrack Version","Eminem",1829992958,73,70,171
"Superman","Eminem, Dina Rae",655466831,76,80,130
"Mas Rica Que Ayer","Mambo Kingz, DJ Luian, Anuel Aa",146409671,67,82,94
"People Pt.2 (feat. IU)","IU, Agust D",95816024,57,73,89
"REMIX EXCLUSIVO","Feid",117206995,56,65,87
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",100409613,78,72,124
"DOGTOOTH","Tyler, The Creator",80758350,65,71,78
"10:35","Tiï¿½ï¿½sto, Tate M",325592432,79,70,120
"SORRY NOT SORRY","Tyler, The Creator",58473276,80,48,96
"HAPPY","NF",52722996,86,73,106
"La Bebe","Yng Lvcas",191945597,46,78,170
"I Know - PR1SVX Edit","Kanii, PR1ISVX",77377503,76,67,134
"Late Night Talking","Harry Styles",743693613,73,71,115
"Leï¿½","Marï¿½ï¿½lia Mendo",267789608,87,74,130
"Save Your Tears (with Ariana Grande) (Remix)","Ariana Grande, The Weeknd",1221813483,79,65,118
"Something in the Orange","Zach Bryan",449701773,38,59,110
"VOID","Melanie Martinez",67070410,66,72,100
"Dijeron Que No La Iba Lograr","Fuerza Regida, Chino Pacas",116334601,79,70,142
"Midnight Rain","Taylor Swift",433356509,37,64,140
"If We Ever Broke Up","Mae Stephens",165584767,73,90,116
"You Proof","Morgan Wallen",367814306,85,73,120
"LA INOCENTE","Feid, Mora",477033549,79,76,92
"Malas Decisiones","Kenia OS",156214700,79,81,110
"Murder In My Mind","Kordhell",448843705,97,71,120
"Gangsta's Paradise","Coolio, L.V.",1357608774,61,63,80
"CAIRO","Karol G, Ovy On The Drums",294352144,69,95,115
"I Love You So","The Walters",972164968,67,58,76
"Dark Red","Steve Lacy",920045682,78,60,172
"Say You Won't Let Go","James Arthur",2420461338,56,40,99
"The Hills","The Weeknd",1947371785,57,36,136
"Heart To Heart","Mac DeMarco",244658767,14,90,150
"Peaches (from The Super Mario Bros. Movie)","Jack Black",68216992,31,71,92
"Marisola - Remix","Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",223582566,87,77,95
"LOKERA","Brray, Rauw Alejandro, Lyanno",471819764,83,83,102
"Low","SZA",272377463,55,70,145
"Numb","Linkin Park",1361425037,86,50,110
"Tormenta (feat. Bad Bunny)","Gorillaz, Bad Bunny",149778242,77,64,95
"on the street (with J. Cole)","j-hope, J. Cole",116599790,82,68,94
"One Thing At A Time","Morgan Wallen",148469433,91,61,142
"Miss You","Robin Schulz, Oliver Tree",497225336,74,59,145
"Ainï¿½ï¿½ï¿½t Tha","Morgan Wallen",88791109,80,64,121
"Thinkinï¿½ï¿½ï¿½ B","Morgan Wallen",125917280,76,66,140
"Private Landing (feat. Justin Bieber & Future)","Don Toliver, Future, Justin Bieber",105062254,67,84,137
"Everything I Love","Morgan Wallen",95623148,85,56,104
"Heaven","Niall Horan",144584800,76,57,92
"LET GO","Central Cee",298063749,45,74,146
"Sial","Mahalini",166570053,43,56,120
"I Wrote The Book","Morgan Wallen",83021468,81,68,144
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",139836056,56,59,94
"SPIT IN MY FACE!","ThxSoMch",303216294,79,73,94
"PLAYA DEL INGLï¿½","Myke Towers, Quevedo",221409663,74,79,113
"Man Made A Bar (feat. Eric Church)","Morgan Wallen, Eric Church",58890931,76,50,148
"Red Ruby Da Sleeze","Nicki Minaj",81419389,73,70,98
"Kahani Suno 2.0","Kaifi Khalil",156777415,38,58,140
"Nobody Gets Me","SZA",284908316,28,36,100
"PERO Tï¿","Karol G, Quevedo",93438910,79,86,140
"Hype Boy","NewJeans",363472647,94,59,100
"Bloody Mary","Lady Gaga",372476382,65,59,100
"Monotonï¿½","Ozuna, Shakira",380726517,70,87,132
"ýýý98 Braves","Morgan Wallen",56533272,67,49,142
"WANDA","Quevedo",175399345,63,72,176
"Thought You Should Know","Morgan Wallen",203221468,70,53,140
"In The End","Linkin Park",1624165576,90,55,105
"Zona De Perigo","Leo Santana",134294498,77,81,135
"Lovezinho","Treyce",70069745,59,82,128
"I Like You (A Happier Song) (with Doja Cat)","Post Malone, Doja Cat",609293408,69,74,101
"Neverita","Bad Bunny",671365962,50,88,122
"Vista Al Mar","Quevedo",362361576,56,76,105
"Sem Alianï¿½ï¿½a no ","MC Xenon, Os Gemeos da Putaria",93587665,36,53,83
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons, League of Legends, JID, Arcane",1223481149,76,72,77
"Revenge","XXXTENTACION",1022258230,25,75,140
"Bombonzinho - Ao Vivo","Israel & Rodolffo, Ana Castela",263453310,95,65,158
"LA CANCIï¿½","J Balvin, Bad Bunny",1435127549,65,75,176
"Quï¿½ï¿½ Ago","Yuridia, Angela Aguilar",236857112,57,73,98
"Love Again","The Kid Laroi",147538971,40,66,107
"After Hours","The Weeknd",698086140,57,66,109
"About Damn Time","Lizzo",723894473,74,84,109
"Born With A Beer In My Hand","Morgan Wallen",34450974,81,53,148
"ýýýýýýýýýýýýýýýýýýýýý","Fujii Kaze",403097450,76,60,158
"Besos Moja2","Wisin & Yandel, ROSALï¿½",309483971,73,74,94
"Maan Meri Jaan","King",319566866,51,70,96
"Moscow Mule","Bad Bunny",909001996,67,80,100
"My Universe","Coldplay, BTS",1061966512,68,58,105
"Devil Donï¿½ï¿½ï¿½","Morgan Wallen",32526947,66,53,125
"LLYLM","ROSALï¿½",124988687,63,56,170
"I'm Not Here To Make Friends","Sam Smith, Calvin Harris, Jessie Reyez",103787664,90,70,115
"TRUSTFALL","P!nk",134255790,89,64,122
"ANTIFRAGILE","LE SSERAFIM",301051721,80,88,105
"Boy's a liar","PinkPantheress",156338624,84,66,133
"VIBE (feat. Jimin of BTS)","TAEYANG, Jimin",152850295,68,79,100
"Shirt","SZA",309653982,45,82,120
"Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Rihanna",297328960,30,25,177
"STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X",332506354,72,64,142
"Sex, Drugs, Etc.","Beach Weather",480507035,84,57,144
"Boy With Luv (feat. Halsey)","Halsey, BTS",1065580332,86,65,120
"Hey, Mickey!","Baby Tate",122763672,51,92,135
"Calm Down","Rï¿½ï",445763624,78,81,107
"Jhoome Jo Pathaan","Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",1365184,74,82,105
"Escapism. - Sped Up","RAYE, 070 Shake",184308753,77,44,108
"Space Song","Beach House",789753877,79,51,147
